City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Iturama,BR,-19.7281,-50.1956,74.28,45,72,6.42,broken clouds
316,San Pedro,PH,14.35,121.0167,90.63,67,40,6.91,scattered clouds
317,Lorengau,PG,-2.0226,147.2712,83.53,74,81,3.13,light rain
318,Deputatskiy,RU,69.3,139.9,20.98,78,35,3.51,scattered clouds
319,Margate,GB,51.3813,1.3862,47.3,76,27,5.99,scattered clouds
320,Kralendijk,BQ,12.15,-68.2667,80.58,89,75,12.66,broken clouds
321,Rawson,AR,-43.3002,-65.1023,48.85,56,35,9.33,scattered clouds
322,Ust-Tarka,RU,55.5672,75.705,58.12,70,19,9.22,few clouds
323,Deep River,CA,46.1001,-77.4995,35.94,76,0,4.03,clear sky
324,Beloha,MG,-25.1667,45.05,62.64,78,0,7.72,clear sky
325,Menton,FR,43.7765,7.5044,64.58,50,77,2.13,broken clouds
326,Faya,SA,18.3851,42.4509,59.11,54,45,3.0,scattered clouds
327,Salalah,OM,17.0151,54.0924,84.29,74,40,4.61,scattered clouds
328,Saryg-Sep,RU,51.5,95.6,59.11,28,86,3.09,overcast clouds
329,Palmer,US,42.1584,-72.3287,46.81,39,0,5.75,clear sky
330,Salinopolis,BR,-0.6136,-47.3561,78.51,89,98,9.78,overcast clouds
331,Okhotsk,RU,59.3833,143.3,39.51,72,98,6.17,overcast clouds
332,Emborion,GR,40.4833,21.55,52.16,93,96,1.41,overcast clouds
333,Puerto Quijarro,BO,-17.7833,-57.7667,78.57,61,63,5.95,broken clouds
334,Eureka,US,40.8021,-124.1637,58.68,67,99,1.5,overcast clouds
335,Oranjemund,NA,-28.55,16.4333,51.4,86,0,6.2,clear sky
336,Bilma,NE,18.6853,12.9164,85.06,7,68,4.34,broken clouds
337,Khatanga,RU,71.9667,102.5,16.11,89,98,16.15,overcast clouds
338,Ephrata,US,40.1798,-76.1788,52.72,52,0,5.75,clear sky
339,Fernie,CA,49.5,-115.0687,48.4,87,85,3.31,overcast clouds
340,Bagdarin,RU,54.4333,113.6,40.95,36,100,2.19,overcast clouds
341,Westport,US,41.1415,-73.3579,53.58,32,0,10.36,clear sky
342,Tianpeng,CN,30.9866,103.9393,63.07,70,100,8.97,overcast clouds
343,Roma,US,43.2128,-75.4557,41.14,57,0,4.61,clear sky
344,Manicore,BR,-5.8092,-61.3003,74.7,92,100,2.89,overcast clouds
345,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,95,30,8.16,light rain
346,Waingapu,ID,-9.6567,120.2641,85.59,68,100,9.57,overcast clouds
