City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Ponta Delgada,PT,66.51,mist,37.7333,-25.6667,Vila Nova Hotel
97,Muncar,ID,86.11,broken clouds,-8.4333,114.3333,Zaky Homestay
98,Samarai,PG,83.82,scattered clouds,-10.6167,150.6667,Nuli Sapi
101,Huilong,CN,56.37,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
104,Chiang Khong,TH,85.26,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
105,Tautira,PF,80.29,light rain,-17.7333,-149.15,Pension Oaoa
106,Cabo San Lucas,MX,81.7,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Bethel,US,50.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
110,Cururupu,BR,74.37,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
111,Antalaha,MG,72.79,broken clouds,-14.9003,50.2788,Hotel Vitasoa
112,Biak,ID,81.7,light rain,-0.9131,122.8766,Penginapan Kim
114,Muros,ES,52.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
115,Aquiraz,BR,75.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
121,Lubbock,US,75.45,clear sky,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
122,Presidencia Roque Saenz Pena,AR,61.5,overcast clouds,-26.7852,-60.4388,Hotel Gualok
123,Evanston,US,60.8,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
125,Flagstaff,US,52.56,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
126,Mount Isa,AU,87.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
127,Imbituba,BR,67.86,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
128,Masvingo,ZW,52.5,clear sky,-20.0637,30.8277,River Side Lodge
129,Saint Pete Beach,US,72.14,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
130,Meulaboh,ID,84.04,overcast clouds,4.1363,96.1285,Kost Pria
131,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
132,Matamoros,MX,86.11,clear sky,25.5333,-103.25,Quinta Belem
133,Cape Town,ZA,58.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
134,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
135,Sorong,ID,83.57,broken clouds,-0.8833,131.25,Waigo Splash Hotel
139,Kishtwar,IN,69.71,clear sky,33.3167,75.7667,Heritage Bagh by Himalayan Musk
140,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
143,Lagoa,PT,60.78,scattered clouds,39.05,-27.9833,Casa Das Faias
144,Ponta Do Sol,PT,63.72,scattered clouds,32.6667,-17.1,Hotel do Campo
145,Sawakin,SD,79.43,clear sky,19.1059,37.3321,فندق الدويم
147,Santa Lucia,ES,56.52,few clouds,27.9117,-15.5407,Las Tirajanas
148,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
149,Puerto Ayora,EC,71.53,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
154,Lazaro Cardenas,MX,76.41,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
155,Paranhos,BR,67.03,scattered clouds,-23.8928,-55.4311,Hotel Saron
156,Shimoda,JP,59.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
163,Ugoofaaru,MV,86.4,overcast clouds,5.6667,73.0,Ungoofaaru Inn
166,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
167,Cockburn Town,TC,76.57,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Limon,CR,77.38,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
170,Faanui,PF,81.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Marsabit,KE,64.89,light rain,2.3284,37.9899,Chicho Hotel
173,Sao Felix Do Xingu,BR,71.08,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
175,Lima,PE,69.91,clear sky,-12.0432,-77.0282,Hotel Kamana
